0,108,1893,15,2023,18,1583,10,310,3,1,0,1491,7,1515,185,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1331,5,0,0,236,47,18,2,131,1,6,3,2,0,29,0,28,0,20,1,76,1,143,0,21,0,8,0,5350,15,436,8,260,3,258,10,224,2,700,21,1428,63,1583,46,245,5,14,0,0,0,34,1,783,0,1,0,617,5,0,0,61,0,2,6,3,6,34,22,4,5,0,3,4,4,14,39,4,11,9,9,27,8,1,2,0,1,0,1,0,0,2,2,1,0,60,4,24,1,2,0,8,0,56,6,44,1,2,0,7,2,7,0,78,1,37,1,3,0,0,0,0,1,10,2,0,0,11,1,22,2,48,5,12,3,0,0,8,4
108,0,10,1838,18,1618,15,1897,9,382,0,3,7,1042,185,1417,1,0,3,21,0,0,0,1,0,0,0,0,0,0,0,0,21,290,0,0,269,249,6,44,8,85,0,1,1,4,0,11,4,82,1,16,1,143,1,123,0,3,0,7,53,5119,6,763,4,158,3,974,1,259,21,539,203,1534,116,1653,9,349,1,12,0,0,1,21,3,630,0,4,2,1247,0,0,0,32,4,0,6,3,16,26,2,1,0,0,2,1,25,12,9,6,9,6,31,11,0,0,0,0,0,8,0,1,0,10,0,2,3,67,0,49,0,2,0,5,4,44,9,38,1,2,1,6,0,11,10,42,2,51,0,12,0,1,1,0,5,9,0,1,4,3,3,33,3,104,4,12,0,0,21,2
1893,10,0,134,4910,139,234,9,453,23,399,2,25,0,2321,122,35,17,1820,223,143,76,57,15,228,2,253,0,196,6,8,0,656,16,0,0,290,75,14,5,21,3,0,0,4,0,10,0,26,0,3,0,38,1,48,0,9,0,1,0,83,7,45,6,32,0,7,0,70,0,368,5,178,11,753,85,415,38,51,1,0,0,5,0,21,1,31,6,43,1,0,0,8,1,0,1,0,2,11,5,1,0,0,1,0,0,4,14,0,1,1,1,3,0,0,0,0,0,0,1,0,0,0,1,32,2,4,7,6,0,0,0,1,1,55,9,29,8,4,1,2,0,0,1,9,2,2,0,2,0,20,13,23,89,121,78,6,2,5,1,2,1,8,4,8,3,0,1,2,2
15,1838,134,0,87,5436,9,425,21,394,6,332,1,61,102,1856,17,28,315,1356,22,147,7,97,1,174,3,420,7,173,0,11,18,449,0,0,81,349,3,10,1,15,1,0,0,5,0,3,1,28,0,3,0,39,0,12,0,0,1,2,4,72,0,88,1,29,0,190,0,18,6,262,7,71,122,921,40,448,8,28,0,0,1,13,0,101,1,55,0,127,0,1,0,4,0,1,1,1,7,5,0,1,0,1,5,1,8,5,2,2,3,2,10,0,0,1,0,0,0,1,0,3,0,3,1,12,1,59,1,10,0,3,2,3,7,66,0,46,0,2,0,0,0,2,1,12,0,9,0,0,5,32,87,63,31,254,5,19,2,3,1,20,2,33,4,8,0,0,5,2
2023,18,4910,87,0,97,718,26,1653,26,273,1,107,2,908,123,8,11,292,127,37,37,17,20,89,4,107,0,183,2,8,0,782,16,0,0,103,39,8,2,52,3,0,0,2,0,9,1,5,0,6,0,3,0,12,0,2,0,0,0,195,2,42,2,63,0,45,5,38,0,105,8,96,8,1935,69,527,30,81,0,0,0,14,2,91,0,51,4,25,0,0,0,6,0,1,1,1,3,15,15,0,2,0,0,4,1,4,10,2,1,1,0,7,1,0,0,0,0,0,1,0,0,1,1,59,1,23,3,9,1,4,1,9,0,132,8,66,7,4,0,3,0,0,1,22,2,8,1,2,1,7,7,24,31,50,59,7,2,14,0,14,2,18,4,7,0,0,0,7,0
18,1618,139,5436,97,0,19,1321,20,1699,6,730,1,176,130,590,13,19,204,350,22,48,2,44,0,102,0,196,3,175,0,95,33,710,0,0,107,191,1,13,3,19,0,3,0,15,0,1,2,8,0,0,0,14,0,7,0,0,0,4,6,117,2,69,1,26,0,242,0,18,7,62,6,47,108,2240,26,707,5,67,0,0,0,19,2,161,0,85,0,114,0,3,0,7,3,2,1,2,4,14,0,2,2,0,0,0,10,15,3,3,2,0,18,0,0,3,0,0,0,0,0,0,0,5,0,35,2,106,0,23,0,9,1,4,4,182,8,134,0,3,1,1,0,4,5,8,1,9,0,4,2,23,52,13,33,353,1,28,2,7,2,24,7,37,5,23,0,0,5,1
1583,15,234,9,718,19,0,13,869,2,0,0,2395,1,630,95,0,0,11,2,0,0,0,0,0,0,0,0,1,0,0,0,2184,5,0,0,97,27,5,1,25,1,1,2,1,0,4,0,3,0,0,0,3,0,6,0,1,0,1,0,379,3,35,1,11,0,11,2,10,0,55,5,184,9,625,13,134,5,13,0,0,0,8,1,22,0,11,0,12,1,0,0,3,0,1,1,0,3,11,10,0,2,0,2,1,1,0,4,1,0,2,3,3,2,0,0,0,0,0,0,1,0,0,0,0,0,34,1,3,0,1,0,2,0,23,0,35,2,2,0,4,0,1,0,20,0,17,0,3,0,0,0,0,0,13,3,0,0,5,0,5,0,20,0,3,2,0,0,1,1
10,1897,9,425,26,1321,13,0,8,1387,0,4,1,1328,87,821,0,0,10,39,0,2,1,1,0,0,0,1,0,0,0,1,7,956,0,0,57,106,2,8,0,11,0,2,0,0,0,0,0,4,0,1,0,5,0,1,0,0,0,2,6,100,3,46,0,14,0,69,2,3,7,42,4,114,29,1123,5,131,2,1,0,0,1,4,1,34,0,1,0,23,0,0,0,0,1,0,0,0,1,6,2,0,0,1,1,0,5,0,0,1,2,0,5,0,0,0,0,0,0,0,0,0,0,6,0,4,2,62,0,17,0,4,0,0,1,28,1,33,0,2,0,1,0,1,0,5,1,12,0,1,0,0,0,0,5,34,0,0,1,1,0,4,0,29,0,2,0,1,2,1
310,9,453,21,1653,20,869,8,0,3,1148,0,175,0,492,53,0,0,173,18,0,3,0,0,0,0,1,0,159,1,63,0,2062,3,0,0,90,26,5,1,32,0,2,0,4,0,2,0,4,0,5,0,3,0,3,0,2,0,0,0,57,0,15,3,5,0,8,0,4,0,49,2,38,2,871,25,717,6,61,0,0,0,7,0,2,0,52,1,6,0,0,0,4,0,1,0,1,1,15,8,0,0,0,3,1,0,2,12,3,4,0,2,6,1,0,0,0,0,0,3,0,0,0,0,66,0,15,4,2,0,1,0,8,0,112,5,62,4,3,0,1,0,0,0,15,0,7,1,3,0,0,0,1,7,41,25,0,0,12,2,10,0,9,1,16,1,0,0,2,1
3,382,23,394,26,1699,2,1387,3,0,1,1233,2,411,30,454,0,1,22,76,1,5,0,2,0,2,0,3,0,12,0,8,2,1606,0,0,27,113,0,6,0,18,1,0,0,2,0,1,1,4,0,1,0,5,0,4,0,1,0,2,2,75,0,20,1,8,1,20,0,2,1,38,3,49,11,795,8,592,0,49,0,0,0,5,0,10,1,6,0,21,0,4,0,0,1,0,0,0,1,5,0,2,0,0,2,0,4,13,0,1,1,1,8,1,0,0,0,0,0,1,0,2,0,4,0,11,4,45,0,6,0,2,0,6,1,81,1,65,0,0,0,1,0,4,3,9,1,6,0,1,0,1,1,1,6,45,0,1,2,9,0,11,1,18,1,15,0,0,5,0
1,0,399,6,273,6,0,0,1148,1,0,0,1,0,2,0,6,2,112,18,46,13,29,1,123,2,43,0,1431,0,165,0,308,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,74,4,270,1,12,0,0,0,0,0,0,0,74,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,1,10,4,4,4,0,1,0,1,1,6,0,2,0,0,0,0,0
0,3,2,332,1,730,0,4,0,1233,0,0,0,0,0,6,0,7,9,77,2,38,0,49,0,150,0,244,0,1520,0,219,0,905,0,0,0,3,0,0,0,8,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,1,0,0,0,0,0,0,0,0,0,1,5,326,1,541,0,3,0,0,0,0,0,1,0,141,0,16,0,11,0,18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,1,1,21,0,2,0,0,0,4,0,2,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,0,18,1,32,0,1,0,2,0,4,0,2,0,0,1,0
1491,7,25,1,107,1,2395,1,175,2,1,0,0,0,61,10,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,885,0,0,0,15,6,9,0,12,0,1,1,0,0,18,0,9,1,6,0,13,2,56,0,13,0,4,0,1888,1,19,1,13,0,315,0,56,0,24,1,32,3,118,0,39,0,4,0,0,0,38,0,330,0,210,0,21,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,6,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,2,2,7,0,0,0,0,0,1,1,11,0,2,1,0,0,0,0,0,0,3,2,0,0,1,0,4,0,3,2,1,0,0,0,0,0
7,1042,0,61,2,176,1,1328,0,411,0,0,0,0,18,135,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,705,0,0,22,57,5,15,1,22,1,1,0,0,0,13,2,18,1,8,0,28,0,25,0,2,0,6,1,1159,1,25,1,4,1,378,0,11,5,20,4,97,5,225,1,158,0,0,0,0,0,15,0,144,0,0,0,18,0,0,0,3,0,1,0,0,1,2,0,0,0,0,0,0,0,4,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,5,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,4,1,2,0,3,0,0,0,0,3,1,0,0,1,0,0,5,0,15,0,0,0,0,2,0
1515,185,2321,102,908,130,630,87,492,30,2,0,61,18,0,568,0,0,715,26,0,0,0,1,0,0,0,0,0,0,0,0,496,36,0,0,1260,155,8,6,81,3,3,4,1,1,7,0,13,3,8,1,19,4,32,3,1,0,1,1,126,23,52,8,12,2,15,15,25,4,631,27,1969,121,557,88,251,38,63,1,0,0,9,1,26,10,7,0,13,9,0,0,4,0,4,1,2,6,26,17,3,3,2,1,0,2,8,32,3,5,6,6,16,5,0,0,0,0,0,2,0,0,2,1,1,0,73,22,13,7,5,0,5,0,55,15,98,15,3,1,3,0,2,0,50,4,25,2,5,1,0,0,0,0,61,26,0,0,16,3,29,4,38,10,13,2,0,1,10,2
185,1417,122,1856,123,590,95,821,53,454,0,6,10,135,568,0,0,1,44,415,0,0,0,2,0,0,0,0,0,1,0,1,67,202,0,0,812,2448,9,98,8,38,2,3,0,7,1,4,2,21,3,5,1,40,5,8,1,0,0,2,53,166,4,107,4,19,1,43,5,5,48,571,214,1361,149,598,45,406,9,4,0,0,0,8,4,25,1,0,6,39,0,0,1,1,2,6,3,3,22,31,2,3,1,2,5,1,20,17,7,5,3,7,20,5,1,0,1,1,0,4,0,0,0,7,0,2,21,173,3,45,0,4,1,6,13,68,31,97,1,5,0,3,0,6,9,26,2,32,0,4,0,1,3,0,58,180,0,2,3,11,5,33,11,92,4,22,1,0,16,2
