FAL Precentral_L
FAR Precentral_R
F1_2L Frontal_Sup_2_L
F1_2R Frontal_Sup_2_R
F2_2L Frontal_Mid_2_L
F2_2R Frontal_Mid_2_R
F3OPL Frontal_Inf_Oper_L
F3OPR Frontal_Inf_Oper_R
F3TL Frontal_Inf_Tri_L
F3TR Frontal_Inf_Tri_R
F3O_2L Frontal_Inf_Orb_2_L
F3O_2R Frontal_Inf_Orb_2_R
ORL Rolandic_Oper_L
ORR Rolandic_Oper_R
SMAL Supp_Motor_Area_L
SMAR Supp_Motor_Area_R
COBL Olfactory_L
COBR Olfactory_R
FML Frontal_Sup_Medial_L
FMR Frontal_Sup_Medial_R
FMOL Frontal_Med_Orb_L
FMOR Frontal_Med_Orb_R
GRL Rectus_L
GRR Rectus_R
OFCMEDL OFCmed_L
OFCMEDR OFCmed_R
OFCANTL OFCant_L
OFCANTR OFCant_R
OFCPOSTL OFCpost_L
OFCPOSTR OFCpost_R
OFCLATL OFClat_L
OFCLATR OFClat_R
INL Insula_L
INR Insula_R
CINML Cingulate_Mid_L
CINMR Cingulate_Mid_R
CIPL Cingulate_Post_L
CIPR Cingulate_Post_R
HIPPOL Hippocampus_L
HIPPOR Hippocampus_R
PARA_HIPPOL ParaHippocampal_L
PARA_HIPPOR ParaHippocampal_R
AMYGDL Amygdala_L
AMYGDR Amygdala_R
V1L Calcarine_L
V1R Calcarine_R
QL Cuneus_L
QR Cuneus_R
LINGL Lingual_L
LINGR Lingual_R
O1L Occipital_Sup_L
O1R Occipital_Sup_R
O2L Occipital_Mid_L
O2R Occipital_Mid_R
O3L Occipital_Inf_L
O3R Occipital_Inf_R
FUSIL Fusiform_L
FUSIR Fusiform_R
PAL Postcentral_L
PAR Postcentral_R
P1L Parietal_Sup_L
P1R Parietal_Sup_R
P2L Parietal_Inf_L
P2R Parietal_Inf_R
GSML SupraMarginal_L
GSMR SupraMarginal_R
GAL Angular_L
GAR Angular_R
PQL Precuneus_L
PQR Precuneus_R
LPCL Paracentral_Lobule_L
LPCR Paracentral_Lobule_R
NCL Caudate_L
NCR Caudate_R
NLL Putamen_L
NLR Putamen_R
PALLL Pallidum_L
PALLR Pallidum_R
HESCHLL Heschl_L
HESCHLR Heschl_R
T1L Temporal_Sup_L
T1R Temporal_Sup_R
T1AL Temporal_Pole_Sup_L
T1AR Temporal_Pole_Sup_R
T2L Temporal_Mid_L
T2R Temporal_Mid_R
T2AL Temporal_Pole_Mid_L
T2AR Temporal_Pole_Mid_R
T3L Temporal_Inf_L
T3R Temporal_Inf_R
CERCRU1L Cerebelum_Crus1_L
CERCRU1R Cerebelum_Crus1_R
CERCRU2L Cerebelum_Crus2_L
CERCRU2R Cerebelum_Crus2_R
CER3L Cerebelum_3_L
CER3R Cerebelum_3_R
CER4_5L Cerebelum_4_5_L
CER4_5R Cerebelum_4_5_R
CER6L Cerebelum_6_L
CER6R Cerebelum_6_R
CER7BL Cerebelum_7b_L
CER7BR Cerebelum_7b_R
CER8L Cerebelum_8_L
CER8R Cerebelum_8_R
CER9L Cerebelum_9_L
CER9R Cerebelum_9_R
CER10L Cerebelum_10_L
CER10R Cerebellum_10_R
VER1_2 Vermis_1_2
VER3 Vermis_3
VER4_5 Vermis_4_5
VER6 Vermis_6
VER7 Vermis_7
VER8 Vermis_8
VER9 Vermis_9
VER10 Vermis_10
tAVL Thal_AV_L
tAVR Thal_AV_R
tLPL Thal_LP_L
tLPR Thal_LP_R
tVAL Thal_VA_L
tVAR Thal_VA_R
tVLL Thal_VL_L
tVLR Thal_VL_R
tVPLL Thal_VPL_L
tVPLR Thal_VPL_R
tILL Thal_IL_L
tILR Thal_IL_R
tReL Thal_Re_L
tReR Thal_Re_R
tMDmL Thal_MDm_L
tMDmR Thal_MDm_R
tMDlL Thal_MDl_L
tMDlR Thal_MDl_R
tLGNL Thal_LGN_L
tLGNR Thal_LGN_R
tMGNL Thal_MGN_L
tMGNR Thal_MGN_R
tPuIL Thal_PuI_L
tPuIR Thal_PuI_R
tPuML Thal_PuM_L
tPuMR Thal_PuM_R
tPuAL Thal_PuA_L
tPuAR Thal_PuA_R
tPuLL Thal_PuL_L
tPuLR Thal_PuL_R
ACCsubL ACC_sub_L
ACCsubR ACC_sub_R
ACCpreL ACC_pre_L
ACCpreR ACC_pre_R
ACCsupL ACC_sup_L
ACCsupR ACC_sup_R
VentStrL Vent_Str_L
VentStrR Vent_Str_R
VTAL VTA_L
VTAR VTA_R
SNpcL SN_pc_L
SNpcR SN_pc_R
SNprL SN_pr_L
SNprR SN_pr_R
RedNL Red_N_L
RedNR Red_N_R
LCL LC_L
LCR LC_R
RapheD Raphe_D
RapheM Raphe_M
